reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4275d9cd-250b-47ce-9fee-58b69eff7c27,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,untuk kurir kenapa mahal banget sih.paling murah 22500 mending kalo imbang sama pelayanan.udah bayar mahal nyampenya 3hari. belanja di olshop ongkir gratis sehari bisa nyampe.pantas sj kurir itu ga laku😁,2,0,2.1.0,2026-04-15 20:09:30,,,2.1.0
98c4eda2-b042-4a7f-8ce9-5d0a95436b9c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Terimakasih, aplikasi sangat berguna",5,0,2.1.1,2026-04-15 19:31:27,"Hai Sahabat SIGNAL, Terima kasih atas ulasannya! 😊

Jika berkenan, rekomendasikan Aplikasi SIGNAL kepada sahabat dan keluarga, agar urusan pajak kendaraan bisa jadi lebih mudah.
Untuk informasi SIGNAL lebih lanjut bisa mengunjungi website samsatdigital.id atau menghubungi email Customer Service info@samsatdigital.id .

Terima kasih,
Tim SIGNAL
",2026-04-16 09:19:45,2.1.1
3443a8b1-a5d0-4741-99f0-add953cbb9d7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi nya bagus mempermudah saat pembayaran pajak, cuma saran aja buat kurir pengiriman stnk nya lain kali kerja yg jujur,pembayaran sudah lunas lewat aplikasi tapi di pinta uang lagi sama kurir nya dengan meminta uang seikhlasnya aja buat beli roko.di komplain dan dikirim bukti pembayaran nya malah ngotot dan ga ngakuin kesalahan nya. tau gitu mending ambil stnk sendiri aja",3,0,2.0.0,2026-04-15 19:26:01,,,2.0.0
3737c603-b696-4068-9abc-57997b71c87c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Alhamdulillah sudah sampai dengan baik,5,0,,2026-04-15 19:11:50,"Hai Sahabat SIGNAL, Terima kasih atas ulasannya! 😊

Jika berkenan, rekomendasikan Aplikasi SIGNAL kepada sahabat dan keluarga, agar urusan pajak kendaraan bisa jadi lebih mudah.
Untuk informasi SIGNAL lebih lanjut bisa mengunjungi website samsatdigital.id atau menghubungi email Customer Service info@samsatdigital.id .

Terima kasih,
Tim SIGNAL
",2026-04-16 08:52:59,
cb36ebe6-1a4e-4187-beac-1c999cf048c8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi ga gunaa sudah verif, cek pajak bayar pajak ga ada yg bisa, lapor via email ga di respon bubarin aja dah ni apk",1,0,2.0.0,2026-04-15 18:45:09,,,2.0.0
d74cb397-4271-4460-8237-2a16c81890af,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gak bisa cek pajak kendaraan, gak bisa bayar, ini aplikasi cuma ambil data pribadi orang aja, mana udah foto ktp sma selfie lagi",1,0,2.1.1,2026-04-15 18:41:14,,,2.1.1
70eab383-6504-452c-8855-97a8ee20572e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,alhamdulillah bayar pajak lebih mudah,5,0,2.1.1,2026-04-15 18:12:34,"Hai Sahabat SIGNAL, Terima kasih atas ulasannya! 😊

Jika berkenan, rekomendasikan Aplikasi SIGNAL kepada sahabat dan keluarga, agar urusan pajak kendaraan bisa jadi lebih mudah.
Untuk informasi SIGNAL lebih lanjut bisa mengunjungi website samsatdigital.id atau menghubungi email Customer Service info@samsatdigital.id .

Terima kasih,
Tim SIGNAL
",2026-04-16 08:58:23,2.1.1
67bfde6d-d757-4a40-8456-7a54a6197613,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"memudahkan masyarakat dalam hal membayar pajak kendaraan , mohon di cantumkan estimasi mulai dari transaksi berhasil hingga proses selesai nya ,trimakasih SIGNAL - SAMSAT",5,0,2.0.0,2026-04-15 17:31:32,"Hai Sahabat SIGNAL, Terima kasih atas ulasan & sarannya 😊
Kami akan terus berupaya meningkatkan layanan agar SIGNAL dapat digunakan dengan lebih mudah & nyaman oleh semua pengguna.
Untuk informasi SIGNAL lebih lanjut bisa mengunjungi website samsatdigital.id atau menghubungi email Customer Service info@samsatdigital.id .
Terima kasih,
Tim SIGNAL
",2026-04-16 09:39:50,2.0.0
4116e6e5-a4a3-4fad-8be5-015ee35eb074,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,proses cepat semoga kedepannya untuk yg 5 tahunan bisa via signal juga,5,0,2.1.1,2026-04-15 16:26:35,"Hai Sahabat SIGNAL, Terima kasih atas ulasannya! 😊

Jika berkenan, rekomendasikan Aplikasi SIGNAL kepada sahabat dan keluarga, agar urusan pajak kendaraan bisa jadi lebih mudah.
Untuk informasi SIGNAL lebih lanjut bisa mengunjungi website samsatdigital.id atau menghubungi email Customer Service info@samsatdigital.id .

Terima kasih,
Tim SIGNAL
",2026-04-16 09:04:35,2.1.1
3137c327-5f14-4352-8fa0-cfdc6df9c606,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Alhamdulillah sangat membantu,5,0,2.0.0,2026-04-15 16:19:56,"Hai Sahabat SIGNAL, Terima kasih atas ulasannya! 😊

Jika berkenan, rekomendasikan Aplikasi SIGNAL kepada sahabat dan keluarga, agar urusan pajak kendaraan bisa jadi lebih mudah.
Untuk informasi SIGNAL lebih lanjut bisa mengunjungi website samsatdigital.id atau menghubungi email Customer Service info@samsatdigital.id .

Terima kasih,
Tim SIGNAL
",2026-04-16 08:57:31,2.0.0
