reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
53d23bb1-95ff-42ad-b5ae-ea5c1b5fea69,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi gak jelas, akun punya sendiri masak mau di download file kk atau aktr gak bisa, kan aneh, buatlan fitur download filenya lah woii",1,0,2.0.4,2026-04-15 20:34:48,,,2.0.4
15eb8407-ea7b-4bdd-9d18-b5325bea2195,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tujuannya untuk memudahkan, tapi sama saja harus ke kantor offline",1,0,,2026-04-15 17:00:38,,,
7dc5676c-f4e5-4ff3-9ea0-daf73abb237a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,apalah aplikasi buruk harus ke tempat pembuatan KTP untuk bisa buat akun aplikasi ini online apaan gak guna mempersulit,1,0,2.0.4,2026-04-15 16:48:35,,,2.0.4
4c70b621-9168-4170-94ad-0bcca33bf6e6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Payah Negara Pungli,1,0,,2026-04-15 15:58:08,,,
308c22c3-bd32-4b24-a96a-819863e114ba,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bukannya membantu malah memberatkan saya,1,0,2.0.4,2026-04-15 15:46:42,,,2.0.4
74323faa-aa3b-426c-9be9-a9885f94a693,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"izin mau beri masukan saya orang daerah, tinggal di kota jakarta niatnya mau pake aplikasi ini biar gk usah pulkam ngurus dokumenya, tapi setelah di download mencoba mandaftar nyatanya harus daftar secara offline, sangat tidak efisien, tolong di adakan daftar secara online masa sekelas pemerintahan bikin update via online aja susah poll? sedangakan aplikasi di luar pemerintah aja udah canggih2? bisa banyak hal jadi tolong du update lagi agar masyarakat daerah yng tinggal di kota bisa mengurus",1,0,2.0.4,2026-04-15 15:36:59,,,2.0.4
290b873d-749e-42e4-b65c-41f8cb6e1c9c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sangat membantu disaat , ktp ketinggalan",5,0,2.0.4,2026-04-15 15:24:28,,,2.0.4
a4dec446-5a84-462f-80fd-43fac966fe82,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasinya bagus pkoknya jojis mantapp,5,0,,2026-04-15 14:09:37,,,
34e467ae-f135-4052-86a2-d1640bf7544b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gak ada gunanya,1,0,2.0.4,2026-04-15 13:31:14,,,2.0.4
7a8b5e40-16c3-4cfc-8a25-1349f2a67574,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sungguh menyusahkan masyarakat,1,0,2.0.4,2026-04-15 13:25:43,,,2.0.4
